Time (s),Sigma_x / E (-),Sigma_y / E (-),Sigma_z / E (-),Tau_xyz (MPa),Sigma_eq (MPa),Lambda (-)
0.25115115115115116,0.903277710490468,0.9013104328389272,0.903276304639259,-146.9581560433711,468.4941880997036,1.831814736736975
0.25125125125125125,0.9021474774642133,0.9001799177393349,0.9021460712122057,-146.97914324763028,468.56126621523543,1.8328927069821468
0.25135135135135134,0.9010157092748491,0.8990478672147026,0.9010143026216164,-147.0001499164531,468.62840659178954,1.8339721414880592
0.2514514514514514,0.8998824017464603,0.8979142770884465,0.8998809946915757,-147.02117609958682,468.695609388418,1.8350530442377857
0.25155155155155157,0.8987475506860706,0.896779143166918,0.8987461432291054,-147.04222184693984,468.7628747648241,1.8361354192306756
0.25165165165165165,0.8976111518835493,0.895642461239312,0.8976097440240742,-147.06328720864255,468.8302028813825,1.8372192704824386
0.25175175175175174,0.8964732011115152,0.8945042270775704,0.8964717928490998,-147.08437223499843,468.8975938989509,1.8383046020252394
0.2518518518518519,0.8953336941252437,0.893364436436289,0.895332285459457,-147.10547697651,468.9650479790981,1.8393914179077844
0.25195195195195197,0.8941926266625754,0.8922230850526253,0.8941912175929841,-147.12660148388892,469.03256528414397,1.8404797221954114
0.25205205205205206,0.8930499944438131,0.8910801686461975,0.8930485849699838,-147.14774580802612,469.1001459768255,1.8415695189701844
0.25215215215215214,0.8919057931716319,0.889935682918993,0.8919043832931293,-147.16891000004196,469.1677902206049,1.8426608123309824
0.25225225225225223,0.8907600185309782,0.8887896235552681,0.8907586082473665,-147.19009411122485,469.23549817958275,1.8437536063935935
0.25235235235235237,0.8896126661889743,0.8876419862214514,0.8896112554998161,-147.21129819306523,469.3032700185274,1.844847905290808
0.25245245245245246,0.8884637317948209,0.8864927665660478,0.8884623206996778,-147.2325222972811,469.3711059028552,1.8459437131725096
0.25255255255255254,0.8873132109796942,0.8853419602195357,0.8873117994781269,-147.25376647576854,469.4390059985276,1.847041034205774
0.25265265265265263,0.8861610993566499,0.8841895627942687,0.8861596874482179,-147.27503078063964,469.5069704723241,1.848139872574961
0.2527527527527528,0.8850073925205211,0.8830355698843764,0.8850059802047827,-147.29631526419357,469.57499949153237,1.8492402324818118
0.25285285285285286,0.8838520860478194,0.8818799770656631,0.8838506733243316,-147.31761997897098,469.6430932241903,1.850342118145543
0.25295295295295295,0.8826951754966292,0.8807227798955043,0.8826937623649486,-147.3389449776882,469.7112518389391,1.8514455338029472
0.25305305305305303,0.8815366564065099,0.8795639739127461,0.8815352428661903,-147.3602903132818,469.77947550512283,1.8525504837084878
0.2531531531531532,0.8803765242983874,0.8784035546375994,0.8803751103489827,-147.38165603890607,469.8477643928079,1.8536569721343998
0.25325325325325326,0.8792147746744563,0.8772415175715413,0.8792133603155192,-147.4030422079066,469.9161186726058,1.8547650033707852
0.25335335335335335,0.8780514030180703,0.8760778581972039,0.8780499882491519,-147.42444887384997,469.9845385159004,1.8558745817257174
0.25345345345345344,0.8768864047936391,0.8749125719782734,0.8768849896142895,-147.4458760905275,470.0530240947179,1.8569857115253383
0.2535535535535536,0.875719775446521,0.8737456543593816,0.8757183598562891,-147.46732391191645,470.12157558177853,1.8580983971139624
0.25365365365365367,0.874551510402919,0.8725771007660015,0.8745500944013522,-147.48879239223464,470.19019315052014,1.859212642854174
0.25375375375375375,0.8733816050697696,0.8714069066043368,0.8733801886564145,-147.51028158591754,470.25887697510694,1.8603284531269353
0.25385385385385384,0.8722100548346357,0.8702350672612165,0.8722086380090376,-147.53179154759664,470.32762723014827,1.8614458323316865
0.2539539539539539,0.8710368550655988,0.8690615781039822,0.8710354378273021,-147.55332233214054,470.396444091356,1.8625647848864504
0.25405405405405407,0.8698620011111472,0.8678864344803815,0.8698605834596945,-147.5748739946298,470.46532773484796,1.8636853152279385
